model,image
4cnn_tz_102_17_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/telephone/img_229_tz_0.png
4cnn_tz_102_17_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/telephone/img_127_tz_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_119_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_27_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_192_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_124_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_213_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_112_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_66_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_418_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_109_ry_0.png
4cnn_ry_1_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_1_ry_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_25_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_116_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_480_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_371_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_345_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_212_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_151_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_248_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_196_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_462_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_436_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_108_tz_0.png
6cnn_tz_23_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_295_tz_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_410_ry_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_209_ry_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_378_ry_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_368_ry_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_375_ry_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_361_ry_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_301_ry_0.png
6cnn_ry_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/book/img_127_ry_0.png
6cnn_ry_5_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_27_ry_0.png
6cnn_ry_5_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_192_ry_0.png
6cnn_ry_5_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_124_ry_0.png
6cnn_ry_5_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_213_ry_0.png
6cnn_ry_5_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_112_ry_0.png
6cnn_ry_5_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_66_ry_0.png
6cnn_ry_5_0_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/apple/img_1_ry_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_375_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_87_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_386_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_225_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_257_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_315_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_353_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_432_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_285_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_258_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_215_tz_0.png
4cnn_tz_31_5_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/carafe/img_146_tz_0.png
4cnn_tz_28_4_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/can/img_223_tz_0.png
6cnn_ry_36_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_194_ry_0.png
6cnn_ry_36_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_358_ry_0.png
6cnn_ry_36_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_451_ry_0.png
6cnn_ry_36_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_135_ry_0.png
6cnn_ry_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_258_ry_0.png
6cnn_ry_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_417_ry_0.png
6cnn_ry_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_71_ry_0.png
6cnn_ry_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_51_ry_0.png
6cnn_ry_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_305_ry_0.png
6cnn_ry_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_254_ry_0.png
6cnn_tz_95_15_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/rubber_duck/img_236_tz_0.png
6cnn_tz_95_15_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/rubber_duck/img_485_tz_0.png
6cnn_tz_95_15_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/rubber_duck/img_284_tz_0.png
6cnn_tz_95_15_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/rubber_duck/img_161_tz_0.png
6cnn_tz_95_15_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/rubber_duck/img_152_tz_0.png
6cnn_tz_95_15_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/rubber_duck/img_473_tz_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_408_ry_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_84_ry_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_486_ry_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_263_ry_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_448_ry_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_492_ry_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_435_ry_0.png
4cnn_ry_94_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_332_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_27_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_158_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_320_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_113_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_446_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_43_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_59_ry_0.png
6cnn_ry_119_19_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/wine_glass/img_235_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_408_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_84_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_486_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_263_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_448_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_492_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_435_ry_0.png
4cnn_ry_91_15_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/rubber_duck/img_332_ry_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_208_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_265_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_96_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_205_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_211_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_453_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_465_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_194_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_412_tz_0.png
6cnn_tz_71_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_314_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_410_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_186_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_216_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_471_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_271_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_173_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_152_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_456_tz_0.png
6cnn_tz_79_13_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/orange/img_78_tz_0.png
4cnn_ry_48_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_258_ry_0.png
4cnn_ry_48_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_417_ry_0.png
4cnn_ry_48_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_51_ry_0.png
4cnn_ry_48_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_305_ry_0.png
4cnn_ry_48_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_254_ry_0.png
4cnn_ry_48_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_494_ry_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_208_tz_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_96_tz_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_205_tz_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_453_tz_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_465_tz_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_194_tz_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_412_tz_0.png
4cnn_tz_68_11_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/monitor/img_314_tz_0.png
6cnn_ry_54_9_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/jam_jar/img_189_ry_0.png
6cnn_ry_54_9_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/jam_jar/img_266_ry_0.png
6cnn_ry_54_9_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/jam_jar/img_213_ry_0.png
6cnn_ry_54_9_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/jam_jar/img_458_ry_0.png
6cnn_ry_54_9_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/jam_jar/img_28_ry_0.png
6cnn_ry_53_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_258_ry_0.png
6cnn_ry_53_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_417_ry_0.png
6cnn_ry_53_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_71_ry_0.png
6cnn_ry_53_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_51_ry_0.png
6cnn_ry_53_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_305_ry_0.png
6cnn_ry_53_8_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/honey_jar/img_254_ry_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_25_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_116_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_480_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_371_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_345_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_212_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_151_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_248_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_196_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_462_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_436_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_108_tz_0.png
6cnn_tz_21_3_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/book/img_295_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_224_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_445_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_174_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_161_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_114_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_226_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_389_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_451_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_344_tz_0.png
6cnn_tz_114_19_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/wine_glass/img_229_tz_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_440_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_115_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_88_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_32_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_126_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_491_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_349_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_369_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_482_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_296_ry_0.png
6cnn_ry_65_10_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/laptop/img_135_ry_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_135_tz_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_359_tz_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_268_tz_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_448_tz_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_207_tz_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_456_tz_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_7_tz_0.png
6cnn_tz_49_8_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/honey_jar/img_197_tz_0.png
6cnn_tz_6_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_142_tz_0.png
6cnn_tz_6_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_350_tz_0.png
6cnn_tz_6_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_286_tz_0.png
6cnn_tz_6_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_175_tz_0.png
6cnn_tz_6_1_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/beer_bottle/img_42_tz_0.png
6cnn_tz_41_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_313_tz_0.png
6cnn_tz_41_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_219_tz_0.png
6cnn_tz_41_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_310_tz_0.png
6cnn_tz_41_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_232_tz_0.png
6cnn_tz_41_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_107_tz_0.png
6cnn_tz_41_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_421_tz_0.png
6cnn_tz_41_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_394_tz_0.png
4cnn_tz_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_313_tz_0.png
4cnn_tz_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_219_tz_0.png
4cnn_tz_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_310_tz_0.png
4cnn_tz_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_232_tz_0.png
4cnn_tz_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_107_tz_0.png
4cnn_tz_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_421_tz_0.png
4cnn_tz_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/cereal_box/img_394_tz_0.png
4cnn_ry_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_194_ry_0.png
4cnn_ry_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_358_ry_0.png
4cnn_ry_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_451_ry_0.png
4cnn_ry_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_98_ry_0.png
4cnn_ry_40_6_no_custom_OP.onnx,/data/metaroom/metaroom_ry_vanilla/val/cereal_box/img_135_ry_0.png
6cnn_tz_28_4_no_custom_OP.onnx,/data/metaroom/metaroom_tz_vanilla/val/can/img_77_tz_0.png
